Country,Country Code,Region,Year,Mortality_Rate,yhat_lower,yhat_upper,Model_Source,Model_Path
Guinea,GIN,Sub-Saharan Africa,2029,0.3986871127778867,-0.409178041323824,1.1825572709541652,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Guinea-Bissau,GNB,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Guyana,GUY,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Haiti,HTI,Latin America and Caribbean,2029,-134.759939199209,-741.7761958925181,488.0948140176958,country,saved/country_Haiti.pkl
Honduras,HND,Latin America and Caribbean,2029,-2.2012831806313793,-12.000159607377263,7.369940055946545,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Hungary,HUN,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Iceland,ISL,Europe and Central Asia,2029,,,,no_model_insufficient_data,
India,IND,South Asia,2029,-0.017904955189604985,-0.4916658503637614,0.46131462659711236,country,saved/country_India.pkl
Indonesia,IDN,East Asia and Pacific,2029,-4.521906525674851,-21.701055856730363,12.76816731014823,country,saved/country_Indonesia.pkl
Iran (Islamic Republic of),IRN,South Asia,2029,-3.0600920592821916,-12.613472571947847,5.902871421977445,country,saved/country_Iran_(Islamic_Republic_of).pkl
Iraq,IRQ,Middle East and North Africa,2029,4.62565648518448,-1.2766526272107055,10.461902644300077,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Ireland,IRL,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Israel,ISR,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Italy,ITA,Europe and Central Asia,2029,33.80996497317019,22.67426709170981,44.26313243124465,country,saved/country_Italy.pkl
Jamaica,JAM,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Japan,JPN,East Asia and Pacific,2029,-0.683612951539553,-4.416357287600943,3.0437310521074292,country,saved/country_Japan.pkl
Jordan,JOR,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Kazakhstan,KAZ,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Kenya,KEN,Sub-Saharan Africa,2029,0.37640046405960226,0.059456268671275125,0.6697702583572673,country,saved/country_Kenya.pkl
Kiribati,KIR,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Kuwait,KWT,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Kyrgyzstan,KGZ,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Lao People's Democratic Republic,LAO,East Asia and Pacific,2029,-0.5418624428686087,-3.6936962757890095,2.687891221096173,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Latvia,LVA,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Lebanon,LBN,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Lesotho,LSO,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Liberia,LBR,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Libya,LBY,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Liechtenstein,LIE,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Lithuania,LTU,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Luxembourg,LUX,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Madagascar,MDG,Sub-Saharan Africa,2029,-0.10452888220422613,-1.1129371523324512,0.8744027228197072,country,saved/country_Madagascar.pkl
Malawi,MWI,Sub-Saharan Africa,2029,0.3986871127778867,-0.3873124698774146,1.1304010286425077,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Malaysia,MYS,East Asia and Pacific,2029,-0.5418624428686087,-4.032338316311948,2.4477591476527225,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Maldives,MDV,South Asia,2029,,,,no_model_insufficient_data,
Mali,MLI,Sub-Saharan Africa,2029,0.3986871127778867,-0.3975220019947016,1.1866855553518125,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Malta,MLT,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Marshall Islands,MHL,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Mauritania,MRT,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Mauritius,MUS,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Mexico,MEX,Latin America and Caribbean,2029,0.08954167040374646,-0.012638736553359056,0.1936381457910321,country,saved/country_Mexico.pkl
Micronesia (Federated States of),FSM,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Mongolia,MNG,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Montenegro,MNE,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Morocco,MAR,Middle East and North Africa,2029,4.62565648518448,-0.978533330514624,10.465230034054667,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Mozambique,MOZ,Sub-Saharan Africa,2029,0.4767068686293815,-0.6438097613940069,1.5517705166529832,country,saved/country_Mozambique.pkl
Myanmar,MMR,East Asia and Pacific,2029,-0.5418624428686087,-3.8011589483103734,2.644202859482559,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Namibia,NAM,Sub-Saharan Africa,2029,,,,no_model_insufficient_data,
Nepal,NPL,South Asia,2029,3.17606335872386,-4.830953768782248,11.45465682789255,country,saved/country_Nepal.pkl
Netherlands (Kingdom of the),NLD,Europe and Central Asia,2029,,,,no_model_insufficient_data,
New Caledonia,NCL,East Asia and Pacific,2029,,,,no_model_insufficient_data,
New Zealand,NZL,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Nicaragua,NIC,Latin America and Caribbean,2029,-2.2012831806313793,-11.248707191221497,8.194638541741497,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Niger,NER,Sub-Saharan Africa,2029,0.5905338799272788,-0.3671137351937599,1.525658648219735,country,saved/country_Niger.pkl
Nigeria,NGA,Sub-Saharan Africa,2029,0.4987865957096637,-0.0012277683931697309,0.984706085178561,country,saved/country_Nigeria.pkl
North Macedonia,MKD,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Northern Mariana Islands,MNP,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Norway,NOR,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Oman,OMN,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Pakistan,PAK,South Asia,2029,-1.8159214714461867,-12.141911028099802,7.800453398559077,country,saved/country_Pakistan.pkl
Palau,PLW,East Asia and Pacific,2029,,,,no_model_insufficient_data,
Panama,PAN,Latin America and Caribbean,2029,-2.2012831806313793,-11.243581835893151,7.431499682440994,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Papua New Guinea,PNG,East Asia and Pacific,2029,-0.5418624428686087,-3.7398017866733473,2.6421923357482626,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Paraguay,PRY,Latin America and Caribbean,2029,-2.2012831806313793,-11.7384134204976,7.112714185903651,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Peru,PER,Latin America and Caribbean,2029,0.05383435548188101,-0.7517715732056932,0.8469833241566709,country,saved/country_Peru.pkl
Philippines,PHL,East Asia and Pacific,2029,-0.6284321791173365,-2.338042200334334,1.1748365171879676,country,saved/country_Philippines.pkl
Poland,POL,Europe and Central Asia,2029,6.303951207318949,5.539113807133883,7.104418475152556,country,saved/country_Poland.pkl
Portugal,PRT,Europe and Central Asia,2029,3.786045117653153,-0.4347008001684349,8.395290819112109,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Puerto Rico,PRI,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Qatar,QAT,Middle East and North Africa,2029,,,,no_model_insufficient_data,
Republic of Korea,KOR,East Asia and Pacific,2029,-0.5418624428686087,-3.7481890582169113,2.8670320043897335,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Republic of Moldova,MDA,Europe and Central Asia,2029,,,,no_model_insufficient_data,
Romania,ROU,Europe and Central Asia,2029,40.5102566665644,37.09665915605487,43.84355088922136,country,saved/country_Romania.pkl
Russian Federation,RUS,Europe and Central Asia,2029,3.786045117653153,-0.242910849611785,8.06691412758968,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Rwanda,RWA,Sub-Saharan Africa,2029,0.3986871127778867,-0.44267032573519943,1.19753804344884,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Saint Kitts and Nevis,KNA,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
Saint Lucia,LCA,Latin America and Caribbean,2029,,,,no_model_insufficient_data,
