Country,Country Code,Region,Year,Mortality_Rate,yhat_lower,yhat_upper,Model_Source,Model_Path
Costa Rica,CRI,Latin America and Caribbean,2030,-2.5303519598057673,-12.539319118323215,7.11137178330521,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Croatia,HRV,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Cuba,CUB,Latin America and Caribbean,2030,-2.5303519598057673,-12.505646803917486,7.436279677724066,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Cyprus,CYP,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Czechia,CZE,Europe and Central Asia,2030,3.8981387151230655,-0.20543863010956365,8.105156135213559,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Côte d’Ivoire,CIV,Sub-Saharan Africa,2030,0.37721454240512153,-0.41033119022327375,1.1862969263199885,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Democratic People's Republic of Korea,PRK,East Asia and Pacific,2030,-0.6322499140846652,-4.157403242974106,2.4883133121444434,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Democratic Republic of the Congo,COD,Sub-Saharan Africa,2030,0.8450314096025492,-0.8316856527209139,2.582992702530089,country,saved/country_Democratic_Republic_of_the_Congo.pkl
Denmark,DNK,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Djibouti,DJI,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Dominica,DMA,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Dominican Republic,DOM,Latin America and Caribbean,2030,-2.5303519598057673,-11.818655783483786,7.519489213265048,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Ecuador,ECU,Latin America and Caribbean,2030,-2.5303519598057673,-11.882995743809863,6.667102555896722,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Egypt,EGY,Middle East and North Africa,2030,,,,no_model_insufficient_data,
El Salvador,SLV,Latin America and Caribbean,2030,-2.5303519598057673,-12.47782400171896,7.4390517192204655,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Equatorial Guinea,GNQ,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Eritrea,ERI,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Estonia,EST,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Eswatini,SWZ,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Ethiopia,ETH,Sub-Saharan Africa,2030,0.37721454240512153,-0.4858852552079938,1.1427944978834723,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Fiji,FJI,East Asia and Pacific,2030,-0.6322499140846652,-3.927056051823013,2.6405565616067475,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Finland,FIN,Europe and Central Asia,2030,,,,no_model_insufficient_data,
France,FRA,Europe and Central Asia,2030,1.1524631201079512,-6.613868776795133,8.899036788969555,country,saved/country_France.pkl
French Polynesia,PYF,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Gabon,GAB,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Gambia,GMB,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Georgia,GEO,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Germany,DEU,Europe and Central Asia,2030,3.8981387151230655,0.1458552971456447,8.433622854192603,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Ghana,GHA,Sub-Saharan Africa,2030,0.37721454240512153,-0.4488307634727415,1.149693952716616,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Greece,GRC,Europe and Central Asia,2030,3.8981387151230655,-0.330330387878684,8.510031365794077,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Grenada,GRD,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Guam,GUM,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Guatemala,GTM,Latin America and Caribbean,2030,0.15528226957474178,-2.800139320254254,2.851674445322871,country,saved/country_Guatemala.pkl
Guinea,GIN,Sub-Saharan Africa,2030,0.37721454240512153,-0.43506874630128145,1.1486954233164008,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Guinea-Bissau,GNB,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Guyana,GUY,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Haiti,HTI,Latin America and Caribbean,2030,-153.51236124326155,-678.8776170407681,432.37576468451596,country,saved/country_Haiti.pkl
Honduras,HND,Latin America and Caribbean,2030,-2.5303519598057673,-12.318759941321293,7.340701872500187,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Hungary,HUN,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Iceland,ISL,Europe and Central Asia,2030,,,,no_model_insufficient_data,
India,IND,South Asia,2030,-0.03263188973120249,-0.5125517750442113,0.4503736074060921,country,saved/country_India.pkl
Indonesia,IDN,East Asia and Pacific,2030,-4.98200740508853,-22.585805984636846,12.901650517466498,country,saved/country_Indonesia.pkl
Iran (Islamic Republic of),IRN,South Asia,2030,-3.341413767545127,-12.766810382290538,5.488595705003649,country,saved/country_Iran_(Islamic_Republic_of).pkl
Iraq,IRQ,Middle East and North Africa,2030,4.824264848925589,-0.8384945032656639,10.349162993118632,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Ireland,IRL,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Israel,ISR,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Italy,ITA,Europe and Central Asia,2030,36.54028910464408,25.555921882495582,47.25890047049136,country,saved/country_Italy.pkl
Jamaica,JAM,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Japan,JPN,East Asia and Pacific,2030,-0.8108097835819164,-4.54144652843718,2.856397408946438,country,saved/country_Japan.pkl
Jordan,JOR,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Kazakhstan,KAZ,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Kenya,KEN,Sub-Saharan Africa,2030,0.3791666032776579,0.06417478688787728,0.7126717391158903,country,saved/country_Kenya.pkl
Kiribati,KIR,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Kuwait,KWT,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Kyrgyzstan,KGZ,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Lao People's Democratic Republic,LAO,East Asia and Pacific,2030,-0.6322499140846652,-3.968538214918129,2.5028628677859586,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Latvia,LVA,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Lebanon,LBN,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Lesotho,LSO,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Liberia,LBR,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Libya,LBY,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Liechtenstein,LIE,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Lithuania,LTU,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Luxembourg,LUX,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Madagascar,MDG,Sub-Saharan Africa,2030,-0.141618340019051,-1.0668655074169144,0.8670764010018852,country,saved/country_Madagascar.pkl
Malawi,MWI,Sub-Saharan Africa,2030,0.37721454240512153,-0.39172687177704785,1.1623350389183857,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Malaysia,MYS,East Asia and Pacific,2030,-0.6322499140846652,-3.93006079701641,2.4906514846833145,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Maldives,MDV,South Asia,2030,,,,no_model_insufficient_data,
Mali,MLI,Sub-Saharan Africa,2030,0.37721454240512153,-0.4618210895858889,1.2059027582335544,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Malta,MLT,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Marshall Islands,MHL,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Mauritania,MRT,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Mauritius,MUS,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Mexico,MEX,Latin America and Caribbean,2030,0.08971271441244978,-0.022332704272698397,0.19936071847346196,country,saved/country_Mexico.pkl
Micronesia (Federated States of),FSM,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Mongolia,MNG,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Montenegro,MNE,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Morocco,MAR,Middle East and North Africa,2030,4.824264848925589,-1.0987000121684862,10.281466117303474,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Mozambique,MOZ,Sub-Saharan Africa,2030,0.47567216898850084,-0.6066758847939231,1.5751368725990225,country,saved/country_Mozambique.pkl
Myanmar,MMR,East Asia and Pacific,2030,-0.6322499140846652,-4.011431985451299,2.527836217672797,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Namibia,NAM,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Nepal,NPL,South Asia,2030,3.2341449229283654,-5.306794274128551,11.074742191587324,country,saved/country_Nepal.pkl
Netherlands (Kingdom of the),NLD,Europe and Central Asia,2030,,,,no_model_insufficient_data,
New Caledonia,NCL,East Asia and Pacific,2030,,,,no_model_insufficient_data,
New Zealand,NZL,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Nicaragua,NIC,Latin America and Caribbean,2030,-2.5303519598057673,-11.77253885280077,7.478732959578265,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Niger,NER,Sub-Saharan Africa,2030,0.5880826465904905,-0.2965244489968802,1.4132191219723205,country,saved/country_Niger.pkl
Nigeria,NGA,Sub-Saharan Africa,2030,0.506352248712687,0.002727330444860396,1.0256920789519888,country,saved/country_Nigeria.pkl
North Macedonia,MKD,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Northern Mariana Islands,MNP,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Norway,NOR,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Oman,OMN,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Pakistan,PAK,South Asia,2030,-2.0377734095480546,-11.83277113531302,8.198847529568171,country,saved/country_Pakistan.pkl
Palau,PLW,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Panama,PAN,Latin America and Caribbean,2030,-2.5303519598057673,-12.22383343650623,7.3400597986723515,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Papua New Guinea,PNG,East Asia and Pacific,2030,-0.6322499140846652,-3.610016832040644,2.5586560766766215,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Paraguay,PRY,Latin America and Caribbean,2030,-2.5303519598057673,-11.499827370232959,7.319600068160202,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Peru,PER,Latin America and Caribbean,2030,0.01697353010367939,-0.778124246438013,0.7915993897857861,country,saved/country_Peru.pkl
Philippines,PHL,East Asia and Pacific,2030,-0.7762797285651322,-2.6193460710383447,1.056926910320722,country,saved/country_Philippines.pkl
Poland,POL,Europe and Central Asia,2030,6.933785941194517,6.098620114746254,7.74057471033893,country,saved/country_Poland.pkl
Portugal,PRT,Europe and Central Asia,2030,3.8981387151230655,-0.3609177233534848,8.094648778298398,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Puerto Rico,PRI,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Qatar,QAT,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Republic of Korea,KOR,East Asia and Pacific,2030,-0.6322499140846652,-3.7258390844968297,2.345895953359833,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Republic of Moldova,MDA,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Romania,ROU,Europe and Central Asia,2030,44.646127395359294,40.95840887994379,48.679080367952366,country,saved/country_Romania.pkl
Russian Federation,RUS,Europe and Central Asia,2030,3.8981387151230655,-0.5073603346564821,8.276498141468904,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Rwanda,RWA,Sub-Saharan Africa,2030,0.37721454240512153,-0.4188602623863396,1.1898622151833638,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Saint Kitts and Nevis,KNA,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Saint Lucia,LCA,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Saint Martin (French Part),MAF,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Saint Vincent and the Grenadines,VCT,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Samoa,WSM,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Sao Tome and Principe,STP,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Saudi Arabia,SAU,Middle East and North Africa,2030,4.824264848925589,-0.7964340169387757,10.454530487728737,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Senegal,SEN,Sub-Saharan Africa,2030,0.37721454240512153,-0.39036762963557525,1.129741975426841,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Serbia,SRB,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Seychelles,SYC,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Sierra Leone,SLE,Sub-Saharan Africa,2030,0.37721454240512153,-0.3860118998316109,1.1976625681720572,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Singapore,SGP,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Sint Maarten (Dutch part),SXM,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Slovakia,SVK,Europe and Central Asia,2030,3.8981387151230655,-0.39350211140653496,7.8594904287674305,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Slovenia,SVN,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Solomon Islands,SLB,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Somalia,SOM,Sub-Saharan Africa,2030,0.37721454240512153,-0.38080620841708573,1.1646488084238218,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
South Africa,ZAF,Sub-Saharan Africa,2030,0.3530876575187008,0.12777304248713078,0.591399281668148,country,saved/country_South_Africa.pkl
South Sudan,SSD,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Spain,ESP,Europe and Central Asia,2030,3.8981387151230655,-0.33457834686984234,8.106351844767323,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Sri Lanka,LKA,South Asia,2030,-11.933927301552885,-56.981116621565505,28.41585463849993,country,saved/country_Sri_Lanka.pkl
State of Palestine,PSE,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Sudan,SDN,Middle East and North Africa,2030,0.6551649290562164,-0.610907811896771,1.9376804763911428,country,saved/country_Sudan.pkl
Suriname,SUR,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Sweden,SWE,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Switzerland,CHE,Europe and Central Asia,2030,3.8981387151230655,-0.3480062452588493,8.132714070914963,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Syrian Arab Republic,SYR,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Tajikistan,TJK,Europe and Central Asia,2030,3.8981387151230655,-0.20960783434733085,8.185482797601296,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Thailand,THA,East Asia and Pacific,2030,-0.8806257176619348,-4.116644888792433,2.2298577469603895,country,saved/country_Thailand.pkl
Timor-Leste,TLS,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Togo,TGO,Sub-Saharan Africa,2030,,,,no_model_insufficient_data,
Tonga,TON,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Trinidad and Tobago,TTO,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Tunisia,TUN,Middle East and North Africa,2030,,,,no_model_insufficient_data,
Turkmenistan,TKM,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Turks and Caicos Islands,TCA,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Tuvalu,TUV,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Türkiye,TUR,Middle East and North Africa,2030,4.824264848925589,-0.808761320463872,10.275975269148972,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Uganda,UGA,Sub-Saharan Africa,2030,0.9975457302029631,-0.3651349778679018,2.2048010245398326,country,saved/country_Uganda.pkl
Ukraine,UKR,Europe and Central Asia,2030,3.8981387151230655,-0.06797520754140904,8.077465809896674,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
United Arab Emirates,ARE,Middle East and North Africa,2030,,,,no_model_insufficient_data,
United Kingdom of Great Britain and Northern Ireland,GBR,Europe and Central Asia,2030,3.8981387151230655,-0.42080742338087557,8.039986399251305,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
United Republic of Tanzania,TZA,Sub-Saharan Africa,2030,0.37721454240512153,-0.4061754662021052,1.1716257549705091,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
United States Virgin Islands,VIR,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
United States of America,USA,North America,2030,0.1726570603338437,0.0024501371068670163,0.34093900872640276,country,saved/country_United_States_of_America.pkl
Uruguay,URY,Latin America and Caribbean,2030,,,,no_model_insufficient_data,
Uzbekistan,UZB,Europe and Central Asia,2030,,,,no_model_insufficient_data,
Vanuatu,VUT,East Asia and Pacific,2030,,,,no_model_insufficient_data,
Venezuela (Bolivarian Republic of),VEN,Latin America and Caribbean,2030,-2.5303519598057673,-12.53114457477083,6.700347828639592,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Viet Nam,VNM,East Asia and Pacific,2030,0.02982028397842011,-0.19134584896352572,0.23297212049180255,country,saved/country_Viet_Nam.pkl
Yemen,YEM,Middle East and North Africa,2030,4.824264848925589,-1.0953425780218073,10.674040431850267,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
Zambia,ZMB,Sub-Saharan Africa,2030,0.37721454240512153,-0.45715085903971814,1.1837523659187479,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Zimbabwe,ZWE,Sub-Saharan Africa,2030,0.37721454240512153,-0.39649805589713366,1.1764645460990957,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
